/Users/chunhaozou/Desktop/drl/envs/cartpole_original_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Episode 1 finished with reward: {'pole_upright_reward': 413.417400617849, 'cart_centered_reward': 468.5755148758983, 'pole_stability_reward': 379.0940565407095, 'cart_stability_reward': 431.22304014945644, 'gpt_reward': 3186.17017633167, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_upright_reward': 256.46875382999764, 'cart_centered_reward': 286.3714876053562, 'pole_stability_reward': 257.1951922927587, 'cart_stability_reward': 262.4462046796068, 'gpt_reward': 1993.3769552442538, 'gt_reward': 343.0, 'episode_length': 343.0}
Episode 3 finished with reward: {'pole_upright_reward': 230.681127671358, 'cart_centered_reward': 270.2640100461722, 'pole_stability_reward': 241.696612399217, 'cart_stability_reward': 226.0601813428599, 'gpt_reward': 1818.8660298838538, 'gt_reward': 323.0, 'episode_length': 323.0}
Episode 4 finished with reward: {'pole_upright_reward': 141.70013350895493, 'cart_centered_reward': 175.87721532791477, 'pole_stability_reward': 165.82610104648012, 'cart_stability_reward': 140.83494900535075, 'gpt_reward': 1165.9963395059622, 'gt_reward': 222.0, 'episode_length': 222.0}
Episode 5 finished with reward: {'pole_upright_reward': 345.44379543252927, 'cart_centered_reward': 397.1684146752642, 'pole_stability_reward': 341.5719869890729, 'cart_stability_reward': 353.5389394350936, 'gpt_reward': 2700.6127075681006, 'gt_reward': 452.0, 'episode_length': 452.0}
Episode 1 finished with reward: {'pole_upright_reward': 438.2328056457835, 'cart_centered_reward': 429.00757221567505, 'pole_stability_reward': 380.08824480928996, 'cart_stability_reward': 449.70926907220615, 'gpt_reward': 3198.293429368049, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_upright_reward': 441.51345683970885, 'cart_centered_reward': 469.44398454229025, 'pole_stability_reward': 381.7275172909231, 'cart_stability_reward': 448.98810447970646, 'gpt_reward': 3288.745043839793, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_upright_reward': 458.0292896102948, 'cart_centered_reward': 492.89048227465327, 'pole_stability_reward': 384.76619473693484, 'cart_stability_reward': 453.1685573524931, 'gpt_reward': 3387.756316709185, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_upright_reward': 441.749560934091, 'cart_centered_reward': 483.58687160791055, 'pole_stability_reward': 381.0365165417703, 'cart_stability_reward': 448.50914885476817, 'gpt_reward': 3315.8661436458597, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_upright_reward': 462.8913438070514, 'cart_centered_reward': 477.2392636174213, 'pole_stability_reward': 381.5504538677011, 'cart_stability_reward': 454.90772534018726, 'gpt_reward': 3366.3941555643046, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_upright_reward': 442.75746835051274, 'cart_centered_reward': 486.4924462123467, 'pole_stability_reward': 379.05340283882856, 'cart_stability_reward': 445.36459536655974, 'gpt_reward': 3316.5055606090573, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_upright_reward': 473.2344900519005, 'cart_centered_reward': 485.3727507179145, 'pole_stability_reward': 380.5978825931208, 'cart_stability_reward': 450.3485572185324, 'gpt_reward': 3400.25138628306, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_upright_reward': 455.7232029716405, 'cart_centered_reward': 391.00060207024205, 'pole_stability_reward': 381.2682309342278, 'cart_stability_reward': 425.2954934976639, 'gpt_reward': 3131.154798217424, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_upright_reward': 456.4656216546282, 'cart_centered_reward': 378.96309746019733, 'pole_stability_reward': 380.48597190727435, 'cart_stability_reward': 421.3702169759787, 'gpt_reward': 3101.8745323818453, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_upright_reward': 463.27482965457307, 'cart_centered_reward': 339.8369718945963, 'pole_stability_reward': 379.387476384111, 'cart_stability_reward': 415.9005256731405, 'gpt_reward': 3030.7930210115037, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_upright_reward': 383.03136100027575, 'cart_centered_reward': 256.43624146832815, 'pole_stability_reward': 314.9512793198213, 'cart_stability_reward': 310.75460415999896, 'gpt_reward': 2409.009710657077, 'gt_reward': 413.0, 'episode_length': 413.0}
Episode 2 finished with reward: {'pole_upright_reward': 472.3764905041901, 'cart_centered_reward': 343.600449370457, 'pole_stability_reward': 376.1159659566121, 'cart_stability_reward': 426.74376251113773, 'gpt_reward': 3072.4317177030143, 'gt_reward': 500.0, 'episode_length': 500.0}
