/Users/chunhaozou/Desktop/drl/envs/cartpole_original_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Episode 1 finished with reward: {'pole_upright_reward': 491.1558346025663, 'cart_centered_reward': 469.7067177756645, 'pole_stability_reward': 492.1343100815241, 'cart_stability_reward': 494.97115279848754, 'gpt_reward': 1947.9680152582432, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_upright_reward': 255.43221004388087, 'cart_centered_reward': 200.10595081024735, 'pole_stability_reward': 296.38764557193184, 'cart_stability_reward': 288.7492050723993, 'gpt_reward': 1040.6750114984588, 'gt_reward': 301.0, 'episode_length': 301.0}
Episode 3 finished with reward: {'pole_upright_reward': 170.18360516703405, 'cart_centered_reward': 118.67143134461705, 'pole_stability_reward': 209.69365705255606, 'cart_stability_reward': 201.47352614290944, 'gpt_reward': 700.0222197071164, 'gt_reward': 213.0, 'episode_length': 213.0}
Episode 4 finished with reward: {'pole_upright_reward': 489.3937843815896, 'cart_centered_reward': 472.60480834236074, 'pole_stability_reward': 492.14666358054313, 'cart_stability_reward': 494.8740829433213, 'gpt_reward': 1949.0193392478152, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_upright_reward': 146.2138022593832, 'cart_centered_reward': 104.2030164143435, 'pole_stability_reward': 187.0684669118044, 'cart_stability_reward': 178.4913508038138, 'gpt_reward': 615.9766363893452, 'gt_reward': 190.0, 'episode_length': 190.0}
Episode 1 finished with reward: {'pole_upright_reward': 336.09237132205163, 'cart_centered_reward': 197.4017364877639, 'pole_stability_reward': 361.3802957516404, 'cart_stability_reward': 355.02893152606606, 'gpt_reward': 1249.9033350875236, 'gt_reward': 367.0, 'episode_length': 367.0}
Episode 2 finished with reward: {'pole_upright_reward': 270.42103792329505, 'cart_centered_reward': 152.11613465566498, 'pole_stability_reward': 296.4462222017082, 'cart_stability_reward': 289.11328566271806, 'gpt_reward': 1008.0966804433868, 'gt_reward': 301.0, 'episode_length': 301.0}
Episode 3 finished with reward: {'pole_upright_reward': 491.246615358589, 'cart_centered_reward': 411.59300332993064, 'pole_stability_reward': 491.95590120681175, 'cart_stability_reward': 495.02801382755126, 'gpt_reward': 1889.8235337228828, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_upright_reward': 359.1237792637005, 'cart_centered_reward': 223.19964184992776, 'pole_stability_reward': 384.0495485201778, 'cart_stability_reward': 377.60316457908124, 'gpt_reward': 1343.9761342128882, 'gt_reward': 390.0, 'episode_length': 390.0}
Episode 5 finished with reward: {'pole_upright_reward': 487.82009659127937, 'cart_centered_reward': 284.0330669735452, 'pole_stability_reward': 492.14823909501405, 'cart_stability_reward': 491.57725193362666, 'gpt_reward': 1755.5786545934652, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_upright_reward': 342.83185675235916, 'cart_centered_reward': 169.0382981834142, 'pole_stability_reward': 352.5067161612042, 'cart_stability_reward': 345.7309922266616, 'gpt_reward': 1210.1078633236377, 'gt_reward': 358.0, 'episode_length': 358.0}
Episode 2 finished with reward: {'pole_upright_reward': 429.1552830956552, 'cart_centered_reward': 192.06960684244174, 'pole_stability_reward': 444.0149064477525, 'cart_stability_reward': 439.0784891733961, 'gpt_reward': 1504.3182855592459, 'gt_reward': 451.0, 'episode_length': 451.0}
Episode 3 finished with reward: {'pole_upright_reward': 444.94617313320737, 'cart_centered_reward': 257.64007266554137, 'pole_stability_reward': 456.8518018395985, 'cart_stability_reward': 449.88241969792557, 'gpt_reward': 1609.320467336274, 'gt_reward': 464.0, 'episode_length': 464.0}
Episode 4 finished with reward: {'pole_upright_reward': 246.09890786153343, 'cart_centered_reward': 118.16055545409553, 'pole_stability_reward': 257.9531320822658, 'cart_stability_reward': 250.02521638966337, 'gpt_reward': 872.2378117875572, 'gt_reward': 262.0, 'episode_length': 262.0}
Episode 5 finished with reward: {'pole_upright_reward': 371.35710132285567, 'cart_centered_reward': 182.62522422981985, 'pole_stability_reward': 382.02340647732734, 'cart_stability_reward': 375.56647966780235, 'gpt_reward': 1311.5722116978043, 'gt_reward': 388.0, 'episode_length': 388.0}
Episode 1 finished with reward: {'pole_upright_reward': 451.52670672558077, 'cart_centered_reward': 247.65049600314944, 'pole_stability_reward': 475.57483257804137, 'cart_stability_reward': 470.4179292133687, 'gpt_reward': 1645.169964520141, 'gt_reward': 483.0, 'episode_length': 483.0}
Episode 2 finished with reward: {'pole_upright_reward': 490.42014591691475, 'cart_centered_reward': 467.15997658749694, 'pole_stability_reward': 492.3291198054541, 'cart_stability_reward': 494.8995554399869, 'gpt_reward': 1944.8087977498549, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_upright_reward': 491.32195870733216, 'cart_centered_reward': 423.50580166386635, 'pole_stability_reward': 492.1236728330587, 'cart_stability_reward': 494.76374846070445, 'gpt_reward': 1901.7151816649614, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_upright_reward': 490.5808491150588, 'cart_centered_reward': 372.147123528958, 'pole_stability_reward': 492.1055556384819, 'cart_stability_reward': 493.7961002725234, 'gpt_reward': 1848.629628555023, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_upright_reward': 397.595289675409, 'cart_centered_reward': 207.9853665406837, 'pole_stability_reward': 419.45833266815663, 'cart_stability_reward': 414.01182385608746, 'gpt_reward': 1439.0508127403366, 'gt_reward': 426.0, 'episode_length': 426.0}
