/Users/chunhaozou/Desktop/drl/envs/cartpole_original_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Episode 1 finished with reward: {'pole_upright_reward': 386.509552573366, 'cart_centered_reward': 361.06305353713935, 'pole_stability_reward': 383.4437400756292, 'cart_stability_reward': 403.4498838365086, 'gpt_reward': 1525.9960643910717, 'gt_reward': 478.0, 'episode_length': 478.0}
Episode 2 finished with reward: {'pole_upright_reward': 357.17878763591995, 'cart_centered_reward': 331.4644078773536, 'pole_stability_reward': 358.0468567155803, 'cart_stability_reward': 375.21112749069823, 'gpt_reward': 1412.885009792162, 'gt_reward': 447.0, 'episode_length': 447.0}
Episode 3 finished with reward: {'pole_upright_reward': 289.27275213394904, 'cart_centered_reward': 259.1584224680734, 'pole_stability_reward': 301.6003256756032, 'cart_stability_reward': 312.6143051602878, 'gpt_reward': 1150.975028924743, 'gt_reward': 378.0, 'episode_length': 378.0}
Episode 4 finished with reward: {'pole_upright_reward': 166.7173723427818, 'cart_centered_reward': 147.62345415731752, 'pole_stability_reward': 194.90982256588305, 'cart_stability_reward': 180.495963241813, 'gpt_reward': 682.8573168582801, 'gt_reward': 244.0, 'episode_length': 244.0}
Episode 5 finished with reward: {'pole_upright_reward': 285.78152276052117, 'cart_centered_reward': 262.2273970857294, 'pole_stability_reward': 300.09237400367255, 'cart_stability_reward': 309.0118302262032, 'gpt_reward': 1145.4979703432846, 'gt_reward': 376.0, 'episode_length': 376.0}
Episode 1 finished with reward: {'pole_upright_reward': 274.6212649043407, 'cart_centered_reward': 186.88469498872684, 'pole_stability_reward': 273.10031582280624, 'cart_stability_reward': 271.5978975829031, 'gpt_reward': 1007.7158569594969, 'gt_reward': 341.0, 'episode_length': 341.0}
Episode 2 finished with reward: {'pole_upright_reward': 314.44221242382577, 'cart_centered_reward': 214.7931843602742, 'pole_stability_reward': 310.9606195256932, 'cart_stability_reward': 315.56816942981095, 'gpt_reward': 1155.20120723661, 'gt_reward': 387.0, 'episode_length': 387.0}
Episode 3 finished with reward: {'pole_upright_reward': 476.2734603739232, 'cart_centered_reward': 445.8824296349397, 'pole_stability_reward': 399.40575274943006, 'cart_stability_reward': 467.85303490768774, 'gpt_reward': 1793.624890399097, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_upright_reward': 239.11748995483092, 'cart_centered_reward': 171.5006199537527, 'pole_stability_reward': 251.33460066235224, 'cart_stability_reward': 245.41993087957968, 'gpt_reward': 904.221420988142, 'gt_reward': 313.0, 'episode_length': 313.0}
Episode 5 finished with reward: {'pole_upright_reward': 285.5981829181136, 'cart_centered_reward': 194.83542714447196, 'pole_stability_reward': 284.78554120615047, 'cart_stability_reward': 285.5903859057046, 'gpt_reward': 1050.813435680644, 'gt_reward': 355.0, 'episode_length': 355.0}
Episode 1 finished with reward: {'pole_upright_reward': 472.51534280074236, 'cart_centered_reward': 308.65801995197256, 'pole_stability_reward': 402.2539123967918, 'cart_stability_reward': 449.18113754162545, 'gpt_reward': 1644.2755153206901, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_upright_reward': 471.77338505216073, 'cart_centered_reward': 282.0483797209914, 'pole_stability_reward': 402.19699879689244, 'cart_stability_reward': 447.0841459522825, 'gpt_reward': 1615.4475290722667, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_upright_reward': 346.0261225317649, 'cart_centered_reward': 224.8608270361254, 'pole_stability_reward': 331.51865863764857, 'cart_stability_reward': 340.47479887393223, 'gpt_reward': 1245.6560689083879, 'gt_reward': 415.0, 'episode_length': 415.0}
