/Users/chunhaozou/Desktop/drl/envs/cartpole_original_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Episode 1 finished with reward: {'pole_stability_reward': 415.8856827159944, 'pole_stability_reward_transformed': 444.6781421785176, 'cart_position_penalty': -229.351746030033, 'gpt_reward': 242.4691757159528, 'gt_reward': 457.0, 'episode_length': 457.0}
Episode 2 finished with reward: {'pole_stability_reward': 490.4732540977837, 'pole_stability_reward_transformed': 497.02091164017315, 'cart_position_penalty': -62.45804346496394, 'gpt_reward': 329.1772251086318, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_stability_reward': 341.2558214909787, 'pole_stability_reward_transformed': 370.5488333644228, 'cart_position_penalty': -208.59194354247305, 'gpt_reward': 196.80660029235415, 'gt_reward': 383.0, 'episode_length': 383.0}
Episode 4 finished with reward: {'pole_stability_reward': 489.80574138374436, 'pole_stability_reward_transformed': 496.8130388528191, 'cart_position_penalty': -43.04334478011391, 'gpt_reward': 334.8561237629389, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_stability_reward': 311.35191252172064, 'pole_stability_reward_transformed': 342.6085472408621, 'cart_position_penalty': -202.5418338840052, 'gpt_reward': 179.06343290340192, 'gt_reward': 356.0, 'episode_length': 356.0}
Episode 1 finished with reward: {'pole_stability_reward': 482.09954796781227, 'pole_stability_reward_transformed': 494.4655273805382, 'cart_position_penalty': -145.9109557296809, 'gpt_reward': 302.35258244747286, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_stability_reward': 483.5239470343754, 'pole_stability_reward_transformed': 494.8914270978553, 'cart_position_penalty': -200.90523781410113, 'gpt_reward': 286.1524276242687, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_stability_reward': 490.6602768437642, 'pole_stability_reward_transformed': 497.08178813400946, 'cart_position_penalty': -65.36025416571648, 'gpt_reward': 328.34917544409217, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_stability_reward': 482.15374003777004, 'pole_stability_reward_transformed': 494.47310531628585, 'cart_position_penalty': -169.69538053196945, 'gpt_reward': 295.2225595618089, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_stability_reward': 486.08846906875436, 'pole_stability_reward_transformed': 495.67647153529344, 'cart_position_penalty': -175.6452396765235, 'gpt_reward': 294.27995817174804, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_stability_reward': 492.7192139180418, 'pole_stability_reward_transformed': 497.71991871483027, 'cart_position_penalty': -53.388870889321, 'gpt_reward': 332.38728183358455, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_stability_reward': 491.6658732395837, 'pole_stability_reward_transformed': 497.3952932812235, 'cart_position_penalty': -60.53271196161711, 'gpt_reward': 330.01689170837113, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_stability_reward': 488.95672908446824, 'pole_stability_reward_transformed': 496.56156266115147, 'cart_position_penalty': -59.659901293850226, 'gpt_reward': 329.69512347465115, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_stability_reward': 491.453381975047, 'pole_stability_reward_transformed': 497.32753672719076, 'cart_position_penalty': -24.953659709523585, 'gpt_reward': 340.6431777961763, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_stability_reward': 492.1938338816423, 'pole_stability_reward_transformed': 497.55693013779967, 'cart_position_penalty': -21.272696222489078, 'gpt_reward': 341.90804222971263, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_stability_reward': 490.4485060580787, 'pole_stability_reward_transformed': 497.01892418611044, 'cart_position_penalty': -36.748587926849744, 'gpt_reward': 336.88867055222255, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_stability_reward': 490.97816313391, 'pole_stability_reward_transformed': 497.18203606296146, 'cart_position_penalty': -32.859386835868165, 'gpt_reward': 338.16960919331274, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_stability_reward': 490.5431346391461, 'pole_stability_reward_transformed': 497.04685154765554, 'cart_position_penalty': -33.21867591226086, 'gpt_reward': 337.96719330968006, 'gt_reward': 500.0, 'episode_length': 500.0}
