/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 5 finished with reward: {'pole_balance_reward': 209.78291777569717, 'cart_movement_reward': 9.238075943875648, 'pole_velocity_penalty': -2.9520932761939847, 'gpt_reward': 216.06890044337862, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.89675628518472, 'cart_movement_reward': 4.932320525650415, 'pole_velocity_penalty': -3.1300981033020077, 'gpt_reward': 211.69897870753286, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.8821804887782, 'cart_movement_reward': 5.132821360026444, 'pole_velocity_penalty': -3.1204043037454983, 'gpt_reward': 211.89459754505936, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.88461702286116, 'cart_movement_reward': 8.210509167698497, 'pole_velocity_penalty': -3.0311452024827723, 'gpt_reward': 215.06398098807753, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 106.051874220619, 'cart_movement_reward': 4.411018356272738, 'pole_velocity_penalty': -1.605710354093462, 'gpt_reward': 108.85718222279849, 'gt_reward': 1020.0, 'episode_length': 1011.0}
Episode 5 finished with reward: {'pole_balance_reward': 107.7278904417532, 'cart_movement_reward': 4.471168606585547, 'pole_velocity_penalty': -1.6291522495655213, 'gpt_reward': 110.56990679877318, 'gt_reward': 1036.0, 'episode_length': 1027.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.88563614369608, 'cart_movement_reward': 6.335826366282621, 'pole_velocity_penalty': -3.1525877170241436, 'gpt_reward': 213.06887479295517, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.9013825257342, 'cart_movement_reward': 7.699232040039622, 'pole_velocity_penalty': -3.0758479578839606, 'gpt_reward': 214.52476660789029, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 191.06374448013148, 'cart_movement_reward': 8.411010002074526, 'pole_velocity_penalty': -2.972758100631183, 'gpt_reward': 196.50199638157446, 'gt_reward': 1830.0, 'episode_length': 1821.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.88042240648792, 'cart_movement_reward': 8.080183625354078, 'pole_velocity_penalty': -3.0476430553284417, 'gpt_reward': 214.91296297651377, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.8975918308525, 'cart_movement_reward': 5.704248737998128, 'pole_velocity_penalty': -3.1788095512357564, 'gpt_reward': 212.4230310176157, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.80903547991824, 'cart_movement_reward': 8.77692402481078, 'pole_velocity_penalty': -3.1256141785048213, 'gpt_reward': 215.46034532622392, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.8371932466496, 'cart_movement_reward': 8.9072495671552, 'pole_velocity_penalty': -3.116993932304824, 'gpt_reward': 215.6274488815005, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.8959427632818, 'cart_movement_reward': 8.656623524185163, 'pole_velocity_penalty': -3.1299752193347716, 'gpt_reward': 215.42259106813253, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.9030149506245, 'cart_movement_reward': 6.516277117221048, 'pole_velocity_penalty': -3.2542884616903014, 'gpt_reward': 213.16500360615603, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.9022909373239, 'cart_movement_reward': 8.486197814965537, 'pole_velocity_penalty': -3.158111051730283, 'gpt_reward': 215.2303777005595, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.8438030316477, 'cart_movement_reward': 9.468651903408082, 'pole_velocity_penalty': -3.2512184571247786, 'gpt_reward': 216.0612364779309, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.80977943083323, 'cart_movement_reward': 9.002487463483813, 'pole_velocity_penalty': -3.194386807264522, 'gpt_reward': 215.6178800870526, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.84344712879377, 'cart_movement_reward': 9.132813005828233, 'pole_velocity_penalty': -3.188209775536957, 'gpt_reward': 215.78805035908536, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.8449027837256, 'cart_movement_reward': 9.147850568406435, 'pole_velocity_penalty': -3.14439875821186, 'gpt_reward': 215.84835459392036, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.86764766291105, 'cart_movement_reward': 8.716773774497971, 'pole_velocity_penalty': -3.172161479294989, 'gpt_reward': 215.41225995811462, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.811154397524, 'cart_movement_reward': 9.097725359812427, 'pole_velocity_penalty': -3.1451666873358066, 'gpt_reward': 215.7637130700013, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.81074859774802, 'cart_movement_reward': 9.18293821442224, 'pole_velocity_penalty': -3.140248147361125, 'gpt_reward': 215.85343866480974, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.8387484959146, 'cart_movement_reward': 9.448601819970479, 'pole_velocity_penalty': -3.2068844114313757, 'gpt_reward': 216.0804659044548, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.83245334419516, 'cart_movement_reward': 9.268151069032053, 'pole_velocity_penalty': -3.1048431306358153, 'gpt_reward': 215.9957612825916, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.82482650537443, 'cart_movement_reward': 9.087700318093626, 'pole_velocity_penalty': -3.22467985645897, 'gpt_reward': 215.6878469670087, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.77896939459757, 'cart_movement_reward': 9.228050902156847, 'pole_velocity_penalty': -3.1512401073781087, 'gpt_reward': 215.8557801893758, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.80208258567572, 'cart_movement_reward': 9.333313840204262, 'pole_velocity_penalty': -3.260700032182502, 'gpt_reward': 215.8746963936979, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.7968734804523, 'cart_movement_reward': 9.308251235907258, 'pole_velocity_penalty': -3.2582637688727094, 'gpt_reward': 215.8468609474868, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.74352872942504, 'cart_movement_reward': 9.18293821442224, 'pole_velocity_penalty': -3.1018366896299456, 'gpt_reward': 215.82463025421774, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.81051216028993, 'cart_movement_reward': 9.38343904879827, 'pole_velocity_penalty': -3.257460697292406, 'gpt_reward': 215.93649051179597, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.78972103510296, 'cart_movement_reward': 9.283188631610255, 'pole_velocity_penalty': -3.229048350597737, 'gpt_reward': 215.84386131611564, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.8055531191684, 'cart_movement_reward': 9.363388965360667, 'pole_velocity_penalty': -3.238636045709428, 'gpt_reward': 215.93030603881982, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.8090036620305, 'cart_movement_reward': 9.433564257392277, 'pole_velocity_penalty': -3.2611404151341348, 'gpt_reward': 215.98142750428934, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.79888193479442, 'cart_movement_reward': 9.283188631610255, 'pole_velocity_penalty': -3.2395652129419608, 'gpt_reward': 215.84250535346266, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.8051413354261, 'cart_movement_reward': 9.403489132235872, 'pole_velocity_penalty': -3.232489733434921, 'gpt_reward': 215.97614073422739, 'gt_reward': 2009.0, 'episode_length': 2000.0}
